,GEOID,POP,FULL_NAME,LAT,LON,DISTANCE_TO_TOP_RIGHT
788,3154,39013011900,Census Tract 119  Belmont County  Ohio,40.0926719,-80.7373254,1.89729757556836
789,3815,39153506200,Census Tract 5062  Summit County  Ohio,41.087897399999996,-81.5731083,1.8987446046492982
790,5597,39153532302,Census Tract 5323.02  Summit County  Ohio,41.1616527,-81.61095859999999,1.9031931304547416
791,3456,39013010300,Census Tract 103  Belmont County  Ohio,40.1313429,-80.835814,1.9034593151039982
792,2183,39035102401,Census Tract 1024.01  Cuyahoga County  Ohio,41.460884,-81.7449562,1.903846154496052
793,3109,39151701200,Census Tract 7012  Stark County  Ohio,40.791024,-81.4173407,1.9039405256000852
794,3167,39151711322,Census Tract 7113.22  Stark County  Ohio,40.841010499999996,-81.4460255,1.9040214565402631
795,8448,39153531500,Census Tract 5315  Summit County  Ohio,40.947245,-81.5040448,1.9040863382094437
796,5663,39035136101,Census Tract 1361.01  Cuyahoga County  Ohio,41.3375766,-81.6920385,1.9044340902562429
797,4158,39035177406,Census Tract 1774.06  Cuyahoga County  Ohio,41.401208600000004,-81.7199064,1.9047314123521564
798,4049,39035177504,Census Tract 1775.04  Cuyahoga County  Ohio,41.371526200000005,-81.70783279999999,1.906526124142217
799,4084,39035177201,Census Tract 1772.01  Cuyahoga County  Ohio,41.407568100000006,-81.7241184,1.9081694152257438
800,4518,39035177505,Census Tract 1775.05  Cuyahoga County  Ohio,41.3574513,-81.70249240000001,1.9083587274969867
801,2892,39035101603,Census Tract 1016.03  Cuyahoga County  Ohio,41.4713416,-81.75223129999999,1.9106978761840687
802,5082,39153531801,Census Tract 5318.01  Summit County  Ohio,41.006083600000004,-81.5382113,1.9109951575720883
803,3366,39067976000,Census Tract 9760  Harrison County  Ohio,40.2406925,-80.9989785,1.9110759001562536
804,4777,39035101102,Census Tract 1011.02  Cuyahoga County  Ohio,41.4898253,-81.7613997,1.9141789028956884
805,5745,39153508800,Census Tract 5088  Summit County  Ohio,41.073096500000005,-81.5746248,1.916623698017426
806,2309,39035102300,Census Tract 1023  Cuyahoga County  Ohio,41.462081,-81.75122840000002,1.9175660304538036
807,2615,39035101501,Census Tract 1015.01  Cuyahoga County  Ohio,41.474205299999994,-81.75650440000001,1.9180503194745953
808,8075,39151711311,Census Tract 7113.11  Stark County  Ohio,40.90031079999999,-81.4866085,1.9183672078062632
809,3846,39153505400,Census Tract 5054  Summit County  Ohio,41.0479107,-81.563456,1.919246860100003
810,3179,39153507102,Census Tract 5071.02  Summit County  Ohio,41.1145308,-81.59682190000001,1.920771469164833
811,3942,39151711501,Census Tract 7115.01  Stark County  Ohio,40.82541629999999,-81.44726379999999,1.9218140814848255
812,2446,39153505700,Census Tract 5057  Summit County  Ohio,41.0403123,-81.561361,1.9226408360250151
813,3368,39035177104,Census Tract 1771.04  Cuyahoga County  Ohio,41.412462,-81.73295829999999,1.9239533204592774
814,2012,39035101300,Census Tract 1013  Cuyahoga County  Ohio,41.4805279,-81.7640624,1.9298868332929644
815,5203,39035177608,Census Tract 1776.08  Cuyahoga County  Ohio,41.380499900000004,-81.7218635,1.929988095506243
816,5249,39153505800,Census Tract 5058  Summit County  Ohio,41.0310989,-81.56082629999999,1.9307825607160638
817,4473,39035137102,Census Tract 1371.02  Cuyahoga County  Ohio,41.4346445,-81.7452733,1.93083791003328
818,5403,39151713401,Census Tract 7134.01  Stark County  Ohio,40.7951281,-81.4353973,1.9311611236197006
819,2622,39035102200,Census Tract 1022  Cuyahoga County  Ohio,41.457689,-81.755775,1.9328201824809998
820,4626,39153508399,Census Tract 5083.99  Summit County  Ohio,41.054522399999996,-81.5736532,1.9332251138438359
821,4525,39035177405,Census Tract 1774.05  Cuyahoga County  Ohio,41.3930459,-81.7287878,1.9335945437552597
822,3963,39151714901,Census Tract 7149.01  Stark County  Ohio,40.6870782,-81.37404120000001,1.9354267816550512
823,7589,39035136102,Census Tract 1361.02  Cuyahoga County  Ohio,41.29906079999999,-81.6902527,1.9389061975969042
824,2138,39035101400,Census Tract 1014  Cuyahoga County  Ohio,41.4704727,-81.7638204,1.9393588251993605
825,3602,39013010200,Census Tract 102  Belmont County  Ohio,40.0743091,-80.79538050000001,1.9397401158102512
826,4088,39035137103,Census Tract 1371.03  Cuyahoga County  Ohio,41.4271477,-81.7458828,1.9397811901222524
827,4967,39035160601,Census Tract 1606.01  Cuyahoga County  Ohio,41.4917539,-81.7731207,1.9405751355321097
828,2330,39035137101,Census Tract 1371.01  Cuyahoga County  Ohio,41.44237329999999,-81.7554245,1.9472970422222682
829,2993,39035102101,Census Tract 1021.01  Cuyahoga County  Ohio,41.4600037,-81.7634313,1.948890358904075
830,2134,39035161700,Census Tract 1617  Cuyahoga County  Ohio,41.4804123,-81.7719645,1.9491104610022443
831,3223,39035177403,Census Tract 1774.03  Cuyahoga County  Ohio,41.3999953,-81.7400329,1.9530811222756181
832,2930,39035160602,Census Tract 1606.02  Cuyahoga County  Ohio,41.486795,-81.7762946,1.9532513203779613
833,6745,39153532202,Census Tract 5322.02  Summit County  Ohio,41.1243735,-81.61771970000001,1.9547432972637138
834,3824,39035177103,Census Tract 1771.03  Cuyahoga County  Ohio,41.412378100000005,-81.7460657,1.9549849977400933
835,1644,39153533000,Census Tract 5330  Summit County  Ohio,41.016520799999995,-81.566491,1.9567432256250048
836,2974,39035175106,Census Tract 1751.06  Cuyahoga County  Ohio,41.3416703,-81.7166615,1.9567459707202566
837,2664,39035102102,Census Tract 1021.02  Cuyahoga County  Ohio,41.451792299999994,-81.7640987,1.958709924609311
838,1219,39013011700,Census Tract 117  Belmont County  Ohio,40.031489799999996,-80.73811140000001,1.9587606743411654
839,1351,39035161800,Census Tract 1618  Cuyahoga County  Ohio,41.4740826,-81.7748956,1.9625595921561438
