GEOID, POP, FULL_NAME, LAT, LON
39017011117,11429,Census Tract 111.17  Butler County  Ohio,39.4091101,-84.44248370000001
39017011118,3485,Census Tract 111.18  Butler County  Ohio,39.38734470000001,-84.357927
39017011120,7014,Census Tract 111.20  Butler County  Ohio,39.3862258,-84.3854302
39017011121,8295,Census Tract 111.21  Butler County  Ohio,39.4180367,-84.3755377
39017011122,5669,Census Tract 111.22  Butler County  Ohio,39.349892600000004,-84.46595529999999
39017011123,4902,Census Tract 111.23  Butler County  Ohio,39.318309,-84.46413359999998
39017011125,3830,Census Tract 111.25  Butler County  Ohio,39.3601557,-84.38302850000001
39017011126,5260,Census Tract 111.26  Butler County  Ohio,39.348543,-84.4072237
39017011127,4775,Census Tract 111.27  Butler County  Ohio,39.364663,-84.410154
39017011128,3158,Census Tract 111.28  Butler County  Ohio,39.332115,-84.4368925
39017011129,3906,Census Tract 111.29  Butler County  Ohio,39.353869399999994,-84.4387164
39017011130,5090,Census Tract 111.30  Butler County  Ohio,39.30150020000001,-84.36974659999998
39017011131,3164,Census Tract 111.31  Butler County  Ohio,39.3088162,-84.4123635
39017011200,8202,Census Tract 112  Butler County  Ohio,39.445488700000006,-84.3663328
39017011300,5496,Census Tract 113  Butler County  Ohio,39.453748,-84.4165169
39017011800,6001,Census Tract 118  Butler County  Ohio,39.4885915,-84.4613214
39017012100,3166,Census Tract 121  Butler County  Ohio,39.5675799,-84.3969563
39017012200,3180,Census Tract 122  Butler County  Ohio,39.5311406,-84.38815600000001
39017012300,2157,Census Tract 123  Butler County  Ohio,39.53469929999999,-84.3608684
39017012400,2371,Census Tract 124  Butler County  Ohio,39.5386245,-84.33860379999999
39017012500,4818,Census Tract 125  Butler County  Ohio,39.5129196,-84.3442359
39017012600,2656,Census Tract 126  Butler County  Ohio,39.5188441,-84.3643667
39017012700,3093,Census Tract 127  Butler County  Ohio,39.5212623,-84.3788325
39017013000,1459,Census Tract 130  Butler County  Ohio,39.5100637,-84.4129815
39017013100,2023,Census Tract 131  Butler County  Ohio,39.506034,-84.40136590000002
39017013200,3704,Census Tract 132  Butler County  Ohio,39.506876500000004,-84.3874203
39017013300,1962,Census Tract 133  Butler County  Ohio,39.507842700000005,-84.3684186
39017013400,2223,Census Tract 134  Butler County  Ohio,39.500598,-84.3744252
39017013500,3001,Census Tract 135  Butler County  Ohio,39.4925963,-84.3727123
39017013600,5361,Census Tract 136  Butler County  Ohio,39.4963326,-84.3525701
39017013900,2727,Census Tract 139  Butler County  Ohio,39.4816898,-84.3992536
39017014000,2460,Census Tract 140  Butler County  Ohio,39.4877222,-84.432761
39017014100,2193,Census Tract 141  Butler County  Ohio,39.4809542,-84.3713984
39017014300,4782,Census Tract 143  Butler County  Ohio,39.556756400000005,-84.4432519
39017014400,1662,Census Tract 144  Butler County  Ohio,39.51661,-84.3973737
39017014600,1052,Census Tract 146  Butler County  Ohio,39.4079096,-84.5552072
39017014700,4125,Census Tract 147  Butler County  Ohio,39.4101576,-84.5661638
39017014800,7379,Census Tract 148  Butler County  Ohio,39.4174016,-84.60908
39017014900,5335,Census Tract 149  Butler County  Ohio,39.3814595,-84.6006244
39017015000,7358,Census Tract 150  Butler County  Ohio,39.435968200000005,-84.6549354
39017015100,7425,Census Tract 151  Butler County  Ohio,39.4596604,-84.45586540000001
39019720100,3456,Census Tract 7201  Carroll County  Ohio,40.6575107,-81.0033766
39019720200,3554,Census Tract 7202  Carroll County  Ohio,40.6987904,-81.09537859999999
39019720300,5301,Census Tract 7203  Carroll County  Ohio,40.672904200000005,-81.1882954
39019720400,4180,Census Tract 7204  Carroll County  Ohio,40.5856281,-81.2278319
39019720500,5256,Census Tract 7205  Carroll County  Ohio,40.585199700000004,-81.0735835
39019720600,3054,Census Tract 7206  Carroll County  Ohio,40.521722100000005,-80.97846059999999
39019720700,3024,Census Tract 7207  Carroll County  Ohio,40.4803498,-81.1711866
39021010100,2002,Census Tract 101  Champaign County  Ohio,40.1830847,-83.62417009999999
39021010200,6772,Census Tract 102  Champaign County  Ohio,40.153816799999994,-83.96473879999999
39021010400,3773,Census Tract 104  Champaign County  Ohio,40.13840870000001,-83.7873523
39021010500,4020,Census Tract 105  Champaign County  Ohio,40.1121773,-83.7257931
39021010600,3962,Census Tract 106  Champaign County  Ohio,40.097749900000004,-83.7408662
39021011001,2670,Census Tract 110.01  Champaign County  Ohio,40.0811812,-83.8639353
39021011501,4456,Census Tract 115.01  Champaign County  Ohio,40.198010499999995,-83.7936255
39021011504,5195,Census Tract 115.04  Champaign County  Ohio,40.077458899999996,-83.6913058
39021011505,3319,Census Tract 115.05  Champaign County  Ohio,40.0548778,-83.5508172
39021011506,2836,Census Tract 115.06  Champaign County  Ohio,40.150136700000004,-83.5572641
39023000200,1584,Census Tract 2  Clark County  Ohio,39.9156659,-83.816213
39023000300,1573,Census Tract 3  Clark County  Ohio,39.9155995,-83.80331159999999
39023000400,2193,Census Tract 4  Clark County  Ohio,39.920151000000004,-83.78917320000001
39023000500,1311,Census Tract 5  Clark County  Ohio,39.9327501,-83.7852846
39023000600,2698,Census Tract 6  Clark County  Ohio,39.9336124,-83.8000566
39023000700,2693,Census Tract 7  Clark County  Ohio,39.9346966,-83.8114005
39023000901,2431,Census Tract 9.01  Clark County  Ohio,39.9232899,-83.8254427
39023000902,1292,Census Tract 9.02  Clark County  Ohio,39.9148733,-83.83014920000001
39023001000,1495,Census Tract 10  Clark County  Ohio,39.9029631,-83.8378795
39023001101,1177,Census Tract 11.01  Clark County  Ohio,39.9101722,-83.8162295
39023001102,2837,Census Tract 11.02  Clark County  Ohio,39.901962299999994,-83.8207353
39023001200,4245,Census Tract 12  Clark County  Ohio,39.9023186,-83.8008599
39023001300,3680,Census Tract 13  Clark County  Ohio,39.9041381,-83.78054209999999
39023001400,3895,Census Tract 14  Clark County  Ohio,39.9169642,-83.7711587
39023001500,4292,Census Tract 15  Clark County  Ohio,39.9282446,-83.77268790000001
39023001600,4103,Census Tract 16  Clark County  Ohio,39.9261635,-83.7526855
39023001700,2397,Census Tract 17  Clark County  Ohio,39.945705600000004,-83.779775
39023001900,2803,Census Tract 19  Clark County  Ohio,39.9428777,-83.8318532
39023002000,2195,Census Tract 20  Clark County  Ohio,39.9320909,-83.8791679
39023002100,1643,Census Tract 21  Clark County  Ohio,39.9002021,-83.8509954
39023002200,4279,Census Tract 22  Clark County  Ohio,39.8815294,-83.7415759
39023002301,3162,Census Tract 23.01  Clark County  Ohio,39.976304999999996,-83.6048641
39023002403,4037,Census Tract 24.03  Clark County  Ohio,39.9590355,-83.7738069
39023002404,3465,Census Tract 24.04  Clark County  Ohio,39.9600931,-83.79324009999999
39023002501,2168,Census Tract 25.01  Clark County  Ohio,39.973748,-83.78325190000001
39023002502,3189,Census Tract 25.02  Clark County  Ohio,39.9655045,-83.856487
39023002601,3792,Census Tract 26.01  Clark County  Ohio,39.999967600000005,-83.9795869
39023002602,3891,Census Tract 26.02  Clark County  Ohio,39.9943689,-83.8729697
39023002605,3946,Census Tract 26.05  Clark County  Ohio,39.9908939,-83.7337137
39023002606,7252,Census Tract 26.06  Clark County  Ohio,39.9908771,-83.76849870000001
39023002701,3175,Census Tract 27.01  Clark County  Ohio,39.9593914,-84.03692509999999
39023002702,2275,Census Tract 27.02  Clark County  Ohio,39.924257399999995,-84.03985959999999
39023002800,4511,Census Tract 28  Clark County  Ohio,39.922676,-83.9640655
39023002901,3527,Census Tract 29.01  Clark County  Ohio,39.8951677,-84.0404403
39023002902,4749,Census Tract 29.02  Clark County  Ohio,39.8755849,-84.02445829999999
39023003001,3036,Census Tract 30.01  Clark County  Ohio,39.857894099999996,-83.96969200000001
39023003002,3402,Census Tract 30.02  Clark County  Ohio,39.8680368,-83.8888432
39023003101,2660,Census Tract 31.01  Clark County  Ohio,39.873208899999995,-83.950599
39023003102,1855,Census Tract 31.02  Clark County  Ohio,39.878862,-83.92599279999999
39023003200,2441,Census Tract 32  Clark County  Ohio,39.834837,-83.7813249
39023003301,3503,Census Tract 33.01  Clark County  Ohio,39.899221999999995,-83.6268378
39023003302,2749,Census Tract 33.02  Clark County  Ohio,39.812621,-83.6406454
39023003400,3303,Census Tract 34  Clark County  Ohio,39.928548600000006,-83.8233214
39023003700,4616,Census Tract 37  Clark County  Ohio,39.957473900000004,-83.8143537
39025040101,5209,Census Tract 401.01  Clermont County  Ohio,39.170072999999995,-84.0378324
